CATEGORIE;SOUS-CATEGORIE;SOUS-CATEGORIE 2;SOUS-CATEGORIE 3;DESIGNATION;DESCRIPTION;HAUTEUR;LARGEUR;PRIX_UNITAIRE_HT;ARTICLE;FOURNISSEUR;CHANTIER;FICHE_TECHNIQUE;FICHIER_PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Porte Battante EI30/EI60;;PORTE ESSENTIAL BATTANTE EI60 FIL DE CLOISON - Chassis aluminium brut - Porte coupe feu 1H EI60;finition prépeint. charnières invisibles. serrure de sécurité E70 Fr22. CYLINDRE (sans le cylindre). modèle a pousser ou à tirer. { a préciser }).;2100;800;1789.17;1704339;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\EI60\blocofeu_f61s-t01-grande-largeur_fp.pdf.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Porte Battante EI30/EI60;;PORTE ESSENTIAL BATTANTE EI60 FIL DE CLOISON - Chassis aluminium brut - Porte coupe feu 1H EI60;finition prépeint. charnières invisibles. serrure de sécurité E70 F22. CYLINDRE (sans le cylindre). modèle a pousser ou à tirer.;2100;700;1789.17;1704339;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\EI60\blocofeu_f61s-t01-grande-largeur_fp.pdf.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Porte Battante EI30/EI60;;PORTE ESSENTIAL BATTANTE 50 A FIL DE CLOISON - Chassis aluminium brut - finition prepeint;Porte âme creuse ép.50mm. charnières invisibles. serrure magnétique PDDT ou cylindre. modèle a pousser ou a tirer. { a préciser ).;2100;600;702.49;1704339;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Porte Battante EI30/EI60;;PORTE ESSENTIAL BATTANTE 50 A FIL DE CLOISON - Chassis aluminium brut - finition prepeint;Porte âme creuse ép.50mm. charnières invisibles. serrure magnétique PDDT ou cylindre. modèle a pousser ou a tirer.;2100;800;702.49;1704339;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte EI30;;BLOC PORTE EI30 - Huisserie resineux massif a peindre 98X58 - porte cadre bois dur 4 ples de 130;98X58 avec joint iso. serrure de sûreté 1 point axe a 50. Stratifié 2 faces gamme sélection.;2040;930;297.04;1701603;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte EI30;;BLOC PORTE EI30 - Huisserie bois dur a peindre 68X58 - porte cadre bois dur 4 ples de 130;avec joint iso. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint.;2240;930;193.54;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte EI30;;BLOC PORTE EI30 - Huisserie bois dur a peindre 68X58 - porte cadre bois dur 4 ples de 130;avec joint iso. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint.;2240;930;193.54;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte EI30;;BLOC PORTE EI30 - Huisserie bois dur a peindre 68X58 - porte cadre bois dur 4 ples de 130;avec joint iso. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint.;2240;930;193.54;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte Double Action EI30;;BLOC PORTE DAS DOUBLE ACTION EI30 - Huisserie bois dur a peindre 118X58 - 2 VTX joint anti pince doigts;BLOC PORTE ACOUSTIQUE RA=29DB EI30. avec joint iso. porte cadre bois dur 4 paumelles de 130. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint. joint balai. 37-671 1677-21. +boitier de connexion et réarmement.;2240;1760;1652.62;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\DAS\blocdas_d32wpt01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte Double Action EI30;;BLOC PORTE DOUBLE ACTION EI30 - Huisserie bois dur a peindre 118X58 - Pivot linteau GRL100 - Stratifie CHENE QUEBEC;Stratifié 2 faces CHENE QUEBEC. C105 EXM. AVEC 1 OCULUS ROND D.40Omm. vitrage pyrobel 16 EI30 parclose. bois sur vantail de 930. 2 VTX :joint anti pince doigts. K20.00%$ 24207.68 4841.54 TVA 4841.54 E.;2040;1460;1729.12;1701603;Dispano;PARIS 8;Fiches_techniques\Portes et chassis\EI30\blocofeu_f32s-t01_fp.pdf.pdf;Devis_fournisseur\Dispano\M3248000131972.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Chassis Fixe Vitre EI30;;CHASSIS FIXE VITRE EI30 - Huisserie bois dur a peindre 98X58 - vitrage pyrobel 16 EI30 RA=38dB;;2310;760;1108.72;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Châssis\cloisoglass_38-v30f-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Chassis Fixe Vitre EI30;;CHASSIS FIXE VITRE EI30 - Huisserie bois dur a peindre 98X58 - vitrage pyrobel 16 EI30 RA=38dB;;2310;1830;2433.48;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Châssis\cloisoglass_38-v30f-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Chassis Fixe Vitre EI30;;CHASSIS FIXE VITRE EI30 - Huisserie bois dur a peindre 98X58 - vitrage pyrobel 16 EI30 RA=38dB;;2310;540;845.19;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Châssis\cloisoglass_38-v30f-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Chassis Fixe Vitre EI30;;CHASSIS FIXE VITRE EI30 - Huisserie bois dur a peindre 98X58 - vitrage pyrobel 16 EI30 RA=38dB;;2310;1120;1561.46;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Châssis\cloisoglass_38-v30f-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Chassis Fixe Vitre EI30;;CHASSIS FIXE VITRE EI30 - Huisserie bois dur a peindre 98X58 - vitrage pyrobel 16 EI30 RA=38dB;;2310;1270;1741.15;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Châssis\cloisoglass_38-v30f-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Chassis Fixe Vitre EI30;;CHASSIS FIXE VITRE EI30 - Huisserie bois dur a peindre 98X58 - vitrage pyrobel 16 EI30 RA=38dB;*x2 chassis a assembler.;2310;1415;1914.83;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Châssis\cloisoglass_38-v30f-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Chassis Fixe Vitre EI30;;CHASSIS FIXE VITRE EI30 - Huisserie bois dur a peindre 98X58 - vitrage pyrobel 16 EI30 RA=38dB;**2 chassis a assembler.;2310;1070;1501.57;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Châssis\cloisoglass_38-v30f-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Chassis Fixe Vitre EI30;;CHASSIS FIXE VITRE EI30 - Huisserie bois dur a peindre 98X58 - vitrage pyrobel 16 EI30 RA=38dB;**2 chassis à assembler.;2310;1115;1597.40;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Châssis\cloisoglass_38-v30f-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Chassis Fixe Vitre EI60;;CHASSIS FIXE VITRE EI60 - Huisserie HETRE LCA 118X58 avec rainure a brique 4 cotes - vitrage pyrobel 25 EI60;Mnt EUR Et.;2300;971;2289.87;3170616;Dispano;CLOISON VITRE EI60;Fiches_techniques\Portes et chassis\EI60\blocofeu_f61w-t01_fp.pdf.pdf;Devis_fournisseur\Dispano\M3248000132339.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Chassis Fixe Vitre EI60;;CHASSIS FIXE VITRE EI60 - Huisserie HETRE LCA 118X58 avec rainure a brique 4 cotes - vitrage pyrobel 25 EI60;Mnt EUR Et.;2300;980;2308.32;3170616;Dispano;CLOISON VITRE EI60;Fiches_techniques\Portes et chassis\EI60\blocofeu_f61w-t01_fp.pdf.pdf;Devis_fournisseur\Dispano\M3248000132339.PDF
Menuiserie interieurs;PORTES COUPE-FEU / TECHNIQUES;Bloc Porte Largement Vitre EI60;;BLOC PORTE LARGEMENT VITRE EI60 - Huisserie bois dur a peindre 118X58 - Vitrage pyrobel 25 EI60;avec joint iso. Encadrement largeur 120mm. 2 faces fibre prépeint. parclose affleurante coté paumelles. 5 paumelles de 130. serrure de sûreté 1 point axe a 50. KR k KR ke ke de ee ke 6 € ke ER XX ke ke ke. S D203016.;2254;930;2162.77;3170616;Dispano;CLOISON VITRE EI60;Fiches_techniques\Portes et chassis\EI60\blocofeu_f61w-t01_fp.pdf.pdf;Devis_fournisseur\Dispano\M3248000132339.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=29-35dB;;BLOC PORTE ACOUSTIQUE RA=29DB EI30 - Huisserie bois dur a peindre 68X58 - joint balai;avec joint iso. porte cadre bois dur 4 paumelles de 130. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint. [770760 BLOC PORTE DAS DOUBLE ACTION EI30 1.00. 37-671 1677-21. +boitier de connexion et réarmement.;2240;930;205.52;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_29-a31s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=29-35dB;;PORTE ACOUSTIQUE RA=35DB EI30 - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX PRESTIGE FRENE;PORTE ÂME PLEINE. serrure de sûreté 1 point axe a 50. FRENE CLAIR FACON MASSIF. finition verni MAT. RA=42dB. serrure de sûreté 1 point axe a 50. FRENE CLAIR FACON MASSIF. finition verni MAT. joint balai.;2140;930;902.70;4075675;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_33-a32s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=29-35dB;;PORTE ACOUSTIQUE RA=35DB EI30 - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX T729;serrure de sûreté 1 point axe a 50. 2 faces placage OBERFLEX BRUT 8/10è. FRENE de fil ébénisterie non suivie. joint balai. ferrage universelle 4 paumelles INOX.;2140;930;992.34;4075675;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_33-a32s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000134159.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=36-40dB;;BLOC PORTE VITRE EI30 ACOUSTIQUE RA=36db - Huisserie bois dur a peindre 80X58 - vitrage pyrobel 16;avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. parcloses amaincies. 4 paumelles de 160. serrure de sûreté 1 point axe a 50. joint balai.;2240;930;1519.92;1353425;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;;PORTE ACOUSTIQUE RW=44DB EI30 RA=42dB - cadre bois exotique 4 ples INOX de 130 - joint balai;PORTE ÂME PLEINE. serrure de sûreté 1 point axe a 50. 2 faces placage OBERFLEX PRESTIGE. FRENE CLAIR FACON MASSIF. finition verni MAT. serrure de sûreté 1 point axe a 50. 2 faces placage OBERFLEX PRESTIGE. FRENE CLAIR FACON MASSIF. finition verni MAT.;2140;930;1079.14;4075675;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;;PORTE ACOUSTIQUE RW=44DB EI30 RA=42dB - cadre bois exotique 4 ples INOX de 130 - joint balai;serrure de sûreté 1 point axe a 50. 2 faces placage OBERFLEX PRESTIGE. 9784 2237421. FRENE CLAIR FACON MASSTF. finition verni MAT.;2140;830;1064.33;4075675;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;;PORTE ACOUSTIQUE RW=40DB EI30 - cadre bois dur 4 ples de 130 - PLACAGE 2 FACES FRENE BRUT a vernir;serrure de sûreté 1 point axe a 50. joint. balai. serrure de sûreté 1 point axe a 50. joint. balai.;2140;930;549.70;3170616;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000133365.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;;PORTE ACOUSTIQUE RW=42DB EI30 - cadre bois dur 4 ples de 130 - PLACAGE 2 FACES FRENE BRUT a vernir;serrure de sûreté 1 point axe a 50. joint. balai. serrure de sûreté 1 point axe a 50. joint. balai.;2140;930;560.82;3170616;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000133365.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;;PORTE ACOUSTIQUE RW=42DB EI30 - cadre bois dur 4 ples de 130 - PLACAGE 2 FACES FRENE BRUT a vernir;serrure de sûreté 1 point axe a 50. joint. balai.;2140;830;543.47;3170616;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000133365.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Bloc Porte Maternelle Acoustique;;BLOC PORTE MATERNELLE ACOUSTIQUE RW=38db EI30 - Huisserie bois dur a peindre 118X54 - 2 oculus;avec joint d'étanchéité 3 côtés. Porte cadre résineux 3 paumelles de 130. serrure de sûreté 1 point axe a 50. trou de béquille a 1250mm du bas du. des 2 côtés du vantail. 2 oculus 1 HAUT ET 1 BAS 355X255mm. clair de vue vitrage pyrobel 16. EI30 parcloses bois. 2 faces fibre prépeint. vantail. joint anti pince doigts intégré.;2040;830;952.73;3170616;Dispano;CRECHE DE BEAUNE;Fiches_techniques\Portes et chassis\Porte maternelles\maternelle_31-m31s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000121691.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Bloc Porte Maternelle Acoustique;;BLOC PORTE MATERNELLE ACOUSTIQUE RW=38db EI30 - Huisserie bois dur a peindre 88X54;avec joint d'étanchéité 3 côtés. Porte cadre résineux 3 paumelles de 130. serrure de sûreté 1 point axe a 50. trou de béquille a 1250mm du bas du. des 2 côtés du vantail. 2 oculus 1 HAUT ET 1 BAS 355X255mm. clair de vue vitrage pyrobel 16. EI30 parcloses bois. 2 faces fibre prépeint. vantail. joint anti pince doigts intégré.;2040;830;512.67;3170616;Dispano;CRECHE DE BEAUNE;Fiches_techniques\Portes et chassis\Porte maternelles\maternelle_31-m31s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000121691.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Bloc Porte Maternelle Acoustique;;BLOC PORTE MATERNELLE ACOUSTIQUE RA=31dB EI30 - Huisserie bois dur a peindre 68X58 - joint balai;avec joint iso. porte cadre bois dur 4 paumelles de 130. joint anti pince doigts intégré. des 2 côtés du vantail. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint.;2240;930;459.08;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Porte maternelles\maternelle_31-m31s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Bloc Porte Maternelle Acoustique;;BLOC PORTE ACOUSTIQUE RA=33DB EI30 - Huisserie bois dur a peindre 68X58 - 2 VTX feuillure de battement;avec joint iso. porte cadre bois dur 4 paumelles de 130. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint. joint balai. sans verrous.;2240;1860;447.31;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_33-a32s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Bloc Porte Maternelle Acoustique;;BLOC PORTE ACOUSTIQUE RA=40DB EI30 - Huisserie bois dur a peindre 68X58 - joint balai;avec joint iso. porte cadre bois dur 4 paumelles de 130. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint. avec joint iso. porte cadre bois dur 4 paumelles de 130. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint. 44-27] 44-271. K20.00%$ 62569.76 12513.95 TVA 12513.95 E. Toute commande implique de la p.;2240;930;344.27;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
