CATEGORIE;SOUS-CATEGORIE;SOUS-CATEGORIE 2;SOUS-CATEGORIE 3;DESIGNATION;DESCRIPTION;HAUTEUR;LARGEUR;PRIX_UNITAIRE_HT;ARTICLE;FOURNISSEUR;CHANTIER;FICHE_TECHNIQUE;FICHIER_PDF
Menuiserie interieurs;PORTES VITREES;Bloc Porte Vitre EI30;;BLOC PORTE VITRE EI30 - Huisserie bois dur a peindre 80X58 - vitrage pyrobel 16 toute hauteur;RA=35dB. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. percioses amaincies. les de 160. DI ECT. serrure de sûreté 1 point axe a 50. 2 VTX :feuillure de battement. verrous sur semi fixe. joint balai. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. parcloses amaincies. 4.;2240;930;1415.61;1353425;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\EI30\Vitree-JW-donnees-techniques-Feu-EI30-Acoustique-35-dB-largement-vitre-2-vantaux_1.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES VITREES;Bloc Porte Vitre EI30;;BLOC PORTE VITRE EI30 - Huisserie bois dur a peindre 80X58 - vitrage pyrobel 16 - 2 VTX feuillure battement;RA=35dB. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. percioses amaincies. les de 160. DI ECT. serrure de sûreté 1 point axe a 50. verrous sur semi fixe. joint balai. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. parcloses amaincies. 4.;2240;1860;2710.35;1353425;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\EI30\Vitree-JW-donnees-techniques-Feu-EI30-Acoustique-35-dB-largement-vitre-2-vantaux_1.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES VITREES;Bloc Porte Vitre EI30;;BLOC PORTE VITRE EI30 - Huisserie bois dur a peindre 80X58 - vitrage pyrobel 16 - 2 VTX feuillure battement;RA=35dB. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. percioses amaincies. les de 160. DI ECT. serrure de sûreté 1 point axe a 50. verrous sur semi fixe. joint balai. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. parcloses amaincies. 4.;2240;1460;2341.73;1353425;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\EI30\Vitree-JW-donnees-techniques-Feu-EI30-Acoustique-35-dB-largement-vitre-2-vantaux_1.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES VITREES;Bloc Porte Vitre EI30 Acoustique;;BLOC PORTE VITRE EI30 ACOUSTIQUE RA=35dB - Huisserie bois dur a peindre 80X58 - vitrage pyrobel 16;avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. percioses amaincies. les de 160. DI ECT. serrure de sûreté 1 point axe a 50. 2 VTX :feuillure de battement. verrous sur semi fixe. joint balai. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. parcloses amaincies. 4.;2240;1460;2444.22;1353425;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\EI30\Vitree-JW-donnees-techniques-Feu-EI30-Acoustique-35-dB-largement-vitre-2-vantaux_1.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES VITREES;Bloc Porte Vitre DAS EI30;;BLOC PORTE VITRE DAS SIMPLE ACTION EI30 - Huisserie bois dur a peindre 80X58 - Asservissement GEZE TS WOODF3;RA=35dB. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. percioses amaincies. les de 160. DI ECT. serrure de sûreté 1 point axe a 50. 2 VTX :feuillure de battement. verrous sur semi fixe. joint balai. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. parcloses amaincies. 4.;2240;1460;2467.33;1353425;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\DAS\blocdas_d32wpt01_fp.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES VITREES;Chassis Fixe Vitre;;CHASSIS FIXE VITRE - Huisserie FRENE MASSIF A VERNIR sans rainure a brique 100X58 - Vitrage STADIP 44.2;H:1750mm. L:900mm. K20.00%$ 19495.18 3899.04 TVA 3899.04 E.;1750;900;463.66;3433808;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Châssis\cloisoglass_38-v30f-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;;BLOC PORTE AME PLEINE - Huisserie resineux massif 68x58 avec joint iso - porte cadre resineux 3 ples de 130;2 faces fibre prépeint. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint.;2040;630;137.36;1701603;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;;BLOC PORTE AME PLEINE - Huisserie resineux massif 68x58 avec joint iso - porte cadre resineux 3 ples de 130;2 faces fibre prépeint. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint.;2040;830;140.50;1701603;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;;BLOC PORTE AME PLEINE - Huisserie bois dur a peindre 118X54 - porte cadre resineux 3 ples de 130;avec joint d'étanchéité 3 côtés. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint.;2040;830;210.78;3170616;Dispano;CRECHE DE BEAUNE;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000121691.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;;BLOC PORTE AME PLEINE - Huisserie bois dur a peindre 88X54 - porte cadre resineux 3 ples de 130;avec joint d'étanchéité 3 côtés. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint.;2040;830;168.71;3170616;Dispano;CRECHE DE BEAUNE;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000121691.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine Non Feu;;BLOC PORTE AME PLEINE NON FEU - Huisserie bois dur a peindre 66X54 - placage 2 faces CHENE A VERNIR;avec joint d'étanchéité 3 côtés. porte cadre bois dur 4 paumelles de 130. serrure de sûreté 1 point axe a 50. sans cylindre.;2040;930;304.36;3170616;Dispano;CABINET D'AVOCAT PARIS;Fiches_techniques\Portes et chassis\Bloc porte plane prépein.pdf;Devis_fournisseur\Dispano\M3248000121110.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine Non Feu;;BLOC PORTE AME PLEINE NON FEU - Huisserie bois dur a peindre 66X54 - placage 2 faces CHENE A VERNIR;avec joint d'étanchéité 3 côtés. porte cadre bois dur 4 paumelles de 130. serrure de sûreté 1 point axe a 50. sans cylindre. K20.00%$ 2199.26 439.85 TVA 439.85 E. Toute commande implique de la part du client l'acceptation sans. clauses portées sur les bons de commande où sur les. correspondances qui nous parviennent de nos clients ne peut, en. conséquence, y déroger, sauf stipulation contraire c.;2040;1030;373.10;3170616;Dispano;CABINET D'AVOCAT PARIS;Fiches_techniques\Portes et chassis\Bloc porte plane prépein.pdf;Devis_fournisseur\Dispano\M3248000121110.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;;BLOC PORTE AME PLEINE - Huisserie resineux massif a peindre 98X58 - porte cadre bois dur 4 ples de 130 - Stratifie;98X58 avec joint iso. serrure de sûreté 1 point axe a 50. Stratifié 2 faces gamme sélection.;2040;930;249.51;1701603;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;;PORTE AME PLEINE - cadre bois dur 4 ples de 130 - PLACAGE 2 FACES FRENE BRUT a vernir;serrure de sûreté 1 point axe a 50. K20.00%$ 26135.59 5227.12 TVA 5227.12 E.;2140;930;283.29;3170616;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000133365.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Porte Ame Pleine;;PORTE AME PLEINE - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX PRESTIGE FRENE;serrure de sûreté 1 point axe a 50. FRENE CLAIR FACON MASSIF. finition verni MAT. RA=42dB. serrure de sûreté 1 point axe a 50. FRENE CLAIR FACON MASSIF. finition verni MAT. joint balai.;2140;930;769.47;4075675;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Porte Retaillable;;Porte ame pleine prepeinteinte retaillable 221x83x40mm - Blanc;;2210;830;144.95;6301641;Dispano;PORTE RETAILLABLE CHAUVAT;Fiches_techniques\Portes et chassis\FT RECOUPABLE.pdf;Devis_fournisseur\Dispano\M3248000134719.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Porte Retaillable;;Porte plane ame pleine rives droites prepeinte retaillable 221x103 ep. 40mm - Blanc;40mm emballée. K20.00%$ 5972.70 1194.54 TVA 1194.54 E. TTC 7167.24 E.;2210;1030;153.09;6301642;Dispano;PORTE RETAILLABLE CHAUVAT;Fiches_techniques\Portes et chassis\FT RECOUPABLE.pdf;Devis_fournisseur\Dispano\M3248000134719.PDF
Menuiserie interieurs;PORTES COULISSANTES;Porte Ame Pleine Coulissante;;PORTE AME PLEINE COULISSANTE - cadre bois dur rainure basse - mortaise pour serrure a crochet - stratifie 2 faces;entaillage cuvette rondettire doigt. stratifié 2 faces gamme sélection.;2100;930;199.11;1701603;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Coulissant\SAF 80\SAF-10-80_noticetech_w_01_fr.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES MATERNELLE / CRECHE;Bloc Porte Maternelle EI30;;BLOC PORTE MATERNELLE EI30 - Huisserie bois dur a peindre 68X58 - porte 2 FACES FIBRE PREPEINT - 4 ples de 130;BLOC PORTE MATERNELLE EI30 729.11]K. avec joint iso. serrure de sûreté 1 point axe a 50. sans cylindre. K20.00%$ 969.11 193.82 TVA 193.82 E.;2040;930;729.11;3425089;Dispano;CHENILLE ET PAPILLONS;Fiches_techniques\Portes et chassis\Porte maternelles\maternelle_31-m31s-t01_fpDeya EI30.pdf;
Menuiserie interieurs;PORTES MATERNELLE / CRECHE;Bloc Porte Maternelle EI30;;BLOC PORTE MATERNELLE EI30 - Huisserie bois dur a peindre 68X58 - joint anti pince doigts - TROU de bequille a 1290mm;avec joint iso. porte cadre bois dur 4 paumelles de 130. des 2 côtés du vantail. serrure de sûreté 1 point axe a 50. TROU de béquille a 129O0mm. 2 faces fibre prépeint.;2040;830;648.11;3425089;Dispano;-;Fiches_techniques\Portes et chassis\Porte maternelles\maternelle_31-m31s-t01_fpDeya EI30.pdf;Devis_fournisseur\Dispano\M3248000136276.PDF
Menuiserie interieurs;PORTES MATERNELLE / CRECHE;Bloc Porte Maternelle EI30;;BLOC PORTE MATERNELLE EI30 - Huisserie bois dur a peindre 68X58 - joint anti pince doigts - TROU de bequille a 1290mm;avec joint iso. porte cadre bois dur 4 paumelles de 130. des 2 côtés du vantail. serrure de sûreté 1 point axe a 50. 2 faces fibre prépeint.;2040;930;648.11;3425089;Dispano;-;Fiches_techniques\Portes et chassis\Porte maternelles\maternelle_31-m31s-t01_fpDeya EI30.pdf;Devis_fournisseur\Dispano\M3248000136276.PDF
Menuiserie interieurs;PORTES MATERNELLE / CRECHE;Bloc Porte EI30;;BLOC PORTE EI30 - Huisserie bois dur a peindre 68X58 - TROU de bequille a 1290mm;avec joint iso. porte cadre bois dur 4 paumelles de 130. joint anti pince doigts intégré. des 2 côtés du vantail. serrure de sûreté 1 point axe a 50. TROU de béquille a 129O0mm. 2 faces fibre prépeint.;2040;830;339.91;3425089;Dispano;-;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000136276.PDF
Menuiserie interieurs;PORTES MATERNELLE / CRECHE;Porte Ecole Maternelle EI30;;PORTE ECOLE MATERNELLE EI30 FERREE - cadre bois dur 4 ples de 130 - Stratifie blanc cumulus F2255 MAT - 1 oculus rond D.400mm;joint anti pince doigts intégré. des 2 côtés du vantail. serrure de sûreté 1 point axe a 50. vitrage pyrobel 16 parclose bois. EN BAS DU VANTAIL. 72-00) 79-001. K20.00%$ 2616.36 523.27 TVA 523.27 E. Toute commande implique de la part du client l'acceptation sans. clauses portées sur les bons de commande où sur les. correspondances qui nous parviennent d.;2165;930;832.12;1701603;Dispano;PAUL MEURICE;Fiches_techniques\Portes et chassis\Porte maternelles\maternelle_m01s-t02_fp Deya.pdf;Devis_fournisseur\Dispano\M5228000139625.PDF
Menuiserie interieurs;HUISSERIES;Huisserie Frene Massif;;HUISSERIE FRENE MASSIF A VERNIR 100X58 avec joint isophnonique sans rainure a brique - ferrage universel 4 ples INOX;100X58 avec joint isophonique. ferrage universelle 4 paumelles INOX. gache 1 point. talon de 50. lao7se7s PORTE ACOUSTIQUE RA=35DB EI30.;2140;930;397.46;3433808;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Chambranle et contrechambranle\G2.1_-_1.3_Optima_30.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;HUISSERIES;Huisserie Frene Massif;;HUISSERIE FRENE MASSIF A VERNIR 100X58 avec joint isophnonique sans rainure a brique - ferrage universel 4 ples INOX;100X58 avec joint isophonique. ferrage universelle 4 paumelles INOX. gache 1 point. talon de 50. lao7se7s PORTE ACOUSTIQUE RA=35DB EI30.;2140;830;385.04;3433808;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Chambranle et contrechambranle\G2.1_-_1.3_Optima_30.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Quincailleries;Menuiserie interieurs;Ferme-porte;;Ferme-porte Groom GR400 Force 3 EN avec bras glissiere anti-vandalisme gris argent;(OUR LES FERME PORTE. Toute commande implique de la part du client l'acceptation sans. clauses portées sur les bons de commande où sur les. correspondances qui nous parviennent de nos clients ne peut, en. conséquence, y déroger, sauf stipulation contraire convenue par écrit. susceptibles d'être complétées par des conditions généralss. catégorieles ou des conditions particulières de vente dans les. conditions.;;;60.43;1730592;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\Ferme porte\ferme-porte-ts-wood-1623_doc_technique.pdf.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Porte Ame Pleine;;PORTE AME PLEINE - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX T729;PORTE ACOUSTIQUE RA=35DB EI. Si. serrure de sûreté 1 point axe a 50. FRENE ramageux facon massif finition. MAT. joint balai.;2140;930;902.59;4075675;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000135396.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;;PORTE ACOUSTIQUE RW=44DB EI30 RA=42dB - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX T729 - joint balai;serrure de sûreté 1 point axe a 50. FRENE ramageux facon massif finition. MAT.;2140;930;1214.77;4075675;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000135396.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;;PORTE ACOUSTIQUE RW=44DB EI30 RA=42dB - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX T729 - joint balai;serrure de sûreté 1 point axe a 50. FRENE ramageux facon massif finition. MAT.;2140;930;1214.77;4075675;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000135396.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;;PORTE ACOUSTIQUE RW=44DB EI30 RA=42dB - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX T729 - joint balai;serrure de sûreté 1 point axe a 50. FRENE ramageux facon massif finition. MAT. MAT. 1.00. 98-97 HSE TR. * OPTION S5-rORE 74837 -59).;2140;830;1199.91;4075675;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000135396.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=29-35dB;;PORTE ACOUSTIQUE RA=35DB EI30 - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX BRUT 8/10e;serrure de sûreté 1 point axe a 50. FRENE de fil ébénisterie non suivie. joint balai. ferrage universelle 4 paumelles INOX.;2140;930;751.17;4075675;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_33-a32s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000134134.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Porte Ame Pleine;;PORTE AME PLEINE - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX BRUT 8/10e;serrure de sûreté 1 point axe a 50. FRENE de fil ébénisterie non suivie.;2140;930;669.55;4075675;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000134134.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;;PORTE ACOUSTIQUE RW=44DB EI30 RA=42dB - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX BRUT 8/10e - joint balai;3.00 PI. serrure de sûreté 1 point axe a 50. FRENE de fil ébénisterie non suivie.;2140;930;984.44;4075675;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000134134.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;;PORTE ACOUSTIQUE RW=44DB EI30 RA=42dB - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX BRUT 8/10e - joint balai;serrure de sûreté 1 point axe a 50. FRENE de fil ébénisterie non suivie. Huisserie FRENE MASSIF À VERNIR. sans rainure a brique 100X58. Vitrage STADIP 44.2.;2140;830;968.88;4075675;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000134134.PDF
Menuiserie interieurs;PORTES VITREES;Pupitre Bois Pour Vitrage;;PUPITRE BOIS POUR VITRAGE - Huisserie HETRE LCA 118X58 avec rainure a brique 4 cotes;CHASSIS FIXE VITRE EI. vitrage pyrobel 25 EI60. Mnt EUR Et.;2300;;472.32;3170616;Dispano;CLOISON VITRE EI60;Fiches_techniques\Portes et chassis\EI60\blocofeu_f61w-t01_fp.pdf.pdf;Devis_fournisseur\Dispano\M3248000132339.PDF
